Find ID,date,Species,Structure,Condition,Long,Lat,Location,Zone
WDJ01,14/11/2018,WD,"fur, bones",dry,435925.8358,5901191.918,Mansfield,
WDJ10,14/11/2018,WD,"fur, bones",moist,438115.1859,5902276.025,Mansfield,
WDJ11,14/11/2018,WD,"fur, bones",moist,438272.4808,5902113.427,Mansfield,
WDJ12,14/11/2018,WD,"fur, bones",moist,438782.368,5901793.515,Mansfield,
WDJ13,14/11/2018,WD,"fur, bones",moist,438836.988,5901780.148,Mansfield,
WDJ14,14/11/2018,WD,fur,dry,438838.5957,5901779.499,Mansfield,
WDJ15,14/11/2018,WD,fur,dry,438969.9887,5901579.756,Mansfield,
WDJ16,14/11/2018,WD,fur,dry,439137.4966,5901466.027,Mansfield,
WDJ17,14/11/2018,FOX,"insects, fruit",dry,435511.5075,5900811.002,Mansfield,
WDJ18,14/11/2018,FOX,"insects, fruit",dry,435453.3018,5900792.146,Mansfield,
WDJ19,14/11/2018,FOX,fur,old,435342.0797,5900786.638,Mansfield,
WDJ02,14/11/2018,WD,"fur, bones",dry,436267.1714,5902093.904,Mansfield,
WDJ20,14/11/2018,FOX,fur,old,435179.0511,5900717.274,Mansfield,
WDJ21,14/11/2018,FOX,,moist,434948.937,5900385.556,Mansfield,
WDJ22,15/11/2018,WD,"fur, bugs",dry,442211.0467,5900875.733,Mansfield,
WDJ23,15/11/2018,WD,fur,dry,442227.3787,5900855.21,Mansfield,
WDJ24,15/11/2018,WD,fur,dry,442649.564,5900200.087,Mansfield,
WDJ25,15/11/2018,WD,fur,dry,442699.9441,5900127.878,Mansfield,
WDJ26,15/11/2018,WD,"fur, bones",moist,442703.2056,5900119.578,Mansfield,
WDJ27,15/11/2018,WD,bugs,dry,442875.4045,5899904.188,Mansfield,
WDJ28,15/11/2018,WD,"fur, bones",dry,442930.9,5899811.257,Mansfield,
WDJ29,15/11/2018,WD,fur,dry,442301.9642,5901329.548,Mansfield,
WDJ03,14/11/2018,WD,"fur, bones",dry,436276.8946,5902102.737,Mansfield,
WDJ30,15/11/2018,WD,"fur, bones",dry,442217.2098,5901562.615,Mansfield,
WDJ31,15/11/2018,WD,fur,old,442232.1519,5901836.516,Mansfield,
WDJ32,15/11/2018,WD,"fur, bones",old,442215.7413,5902063.726,Mansfield,
WDJ33,15/11/2018,WD,"fur, bones",dry,442216.2016,5902061.842,Mansfield,
WDJ34,15/11/2018,WD,"fur, bones",dry,442211.7575,5902060.807,Mansfield,
WDJ35,15/11/2018,WD,"fur, bugs",dry,442222.0298,5902080.74,Mansfield,
WDJ36,15/11/2018,WD,fur,dry,442168.4517,5902163.693,Mansfield,
WDJ37,15/11/2018,WD,"fur, bones",dry,441920.8697,5902673.319,Mansfield,
WDJ38,15/11/2018,WD,"fur, bones",dry,438833.3756,5899881.572,Mansfield,
WDJ39,15/11/2018,WD,fur,dry,438497.1611,5899717.823,Mansfield,
WDJ04,14/11/2018,WD,fur,dry,436270.0502,5902077.95,Mansfield,
WDJ40,15/11/2018,FOX,bugs,dry,438476.1775,5899619.602,Mansfield,
WDJ41,15/11/2018,FOX,fur,dry,438393.9647,5899589.6,Mansfield,
WDJ44,28/11/2018,WD,fur,moist,558478.199,5870292.541,Swift Creek,
WDJ45,28/11/2018,WD,fur,moist,558481.9306,5870292.952,Swift Creek,
WDJ46,28/11/2018,WD,fur,moist,558563.5588,5870155.475,Swift Creek,
WDJ47,28/11/2018,WD,fur,dry,564516.2795,5868316.591,Swift Creek,
WDJ48,28/11/2018,FOX,fur,moist,564252.9634,5867474.297,Swift Creek,
WDJ49,29/11/2018,FOX,,fresh,559504.5484,5869329.718,Swift Creek,
WDJ05,14/11/2018,WD,fur,moist,436265.9413,5902209.715,Mansfield,
WDJ50,29/11/2018,WD,"fur,bones",dry,559635.1052,5869534.93,Swift Creek,
WDJ51,29/11/2018,FOX,"fur, bugs",dry,559639.3545,5869534.017,Swift Creek,
WDJ52,29/11/2018,WD,"fur,bones",dry,560628.6516,5869775.208,Swift Creek,
WDJ53,29/11/2018,FOX,"fur,bones",dry,561108.8067,5870414.108,Swift Creek,
WDJ54,29/11/2018,WD,"fur,bones",dry,561224.1329,5870576.686,Swift Creek,
WDJ55,29/11/2018,FOX,"fur,bones",dry,561354.0698,5870554.988,Swift Creek,
WDJ56,29/11/2018,WD,"fur,bones",dry,561526.2554,5871169.258,Swift Creek,
WDJ57,29/11/2018,WD,fur,moist,558836.5845,5865242.268,Swift Creek,
WDJ58,29/11/2018,WD,"fur,bones",dry,557153.8274,5865519.105,Swift Creek,
WDJ59,29/11/2018,WD,"fur,bones",moist,557147.358,5865518.591,Swift Creek,
WDJ06,14/11/2018,WD,fur,moist,437960.732,5902837.598,Mansfield,
WDJ60,29/11/2018,WD,"fur,bones",dry/moist,557150.3161,5865523.453,Swift Creek,
WDJ07,14/11/2018,WD,fur,moist,437988.0897,5902673.819,Mansfield,
WDJ08,14/11/2018,WD,fur,old,438042.5262,5902419.61,Mansfield,
WDJ09,14/11/2018,WD,"fur, bones",dry,438118.7756,5902271.504,Mansfield,
WDN01,14/11/2018,wd??,contains fur,fresh,436290.7791,5902633.485,Mansfield,
